release_mbid,artist_name,release_name,release_year,release_genres
5c6516b1-6425-382a-8181-a5593d3137ca,Bert Williams,Purpostus / Never Mo’,1916,pop
602741f3-65f8-3732-8962-7ff8e5402201,United States Marine Band,Kaiser Friedrich Marsch,1910,pop
951ec73c-2fe1-3710-865f-18a93a8cecaa,United States Marine Band,Old Berlin Marsch,1911,pop
e5bbb875-edfb-3fd6-9252-312b25981790,Marion Harris,Way Out Yonder in the Golden West / I Ain't Got Nobody Much,1916,pop
704cf42b-819f-4dd0-a05e-bb62953a55d1,Marion Harris,After You’ve Gone / I’m Glad I Can Make You Cry,1918,pop; ballad
851457a0-b12d-4a95-af29-e36ac42b34fe,Al Bernard,Everybody Wants a Key to My Cellar / Turkestan,1919,pop
19f9e24d-dac9-4a67-8a64-3f6269cca65c,Rudy Wiedoeft,My Cairo Love / Saxophobia,1919,pop
43fb1658-7479-4623-9479-4daf6cef485d,Alma Gluck,Bring Back My Bonnie to Me,1919,classical
b4ec76d2-d3d1-4ffd-8df5-2ba3b491ce6f,Charles d’Almaine,When I Lost You,1914,pop
c2e7e479-e26f-449a-bf98-ce3c259f4532,Billy Williams,I Must Go Home Tonight,1910,pop
a52deb92-603e-49b6-a760-6526acf6a2ba,Al Bernard,I Want to Hold You in My Arms / Oh! Lawdy (Something's Done Got Between Ebecaneezer and Me),1919,pop; comedy
0aeca91f-9015-48c1-b256-316896e58255,Billy Murray,I’ll Make You Want Me / Put On Your Slippers and Fill Up Your Pipe (You’re Not Going Bye-Bye To-night),1917,pop
a8b8effb-b922-419e-a2ed-59f0b80dab42,Irving Kaufman,"Cheer Up Father, Cheer Up Mother / Hello Central Give Me No Man's Land",1918,pop
5327ae31-de0b-494d-9b7e-3b70d6695c63,Arthur Collins,Buddy Boy / Ragtime Soldier Man,1912,pop; ragtime
16e1eb11-efe9-4801-a65d-6575c5548c28,Cal Stewart,Evening Time at Pumpkin Center / Christmas Time at Pumpkin Center,1919,pop
677e071a-2a5d-4bc2-963e-111d67192f91,Walter Van Brunt,Moonlight Bay / The Harbor of Love,1912,pop
b3381da5-c6c3-45e4-932c-b0c522e554b1,Ludwig van Beethoven,Chorus of Dervishes,1918,chamber music; classical
b4e12bcf-f2a0-41dc-949b-5146552eb233,Hans Kindler,Träumerei / A Dream,1917,classical
4581b419-03ab-482f-9d9b-1916e8ff41c4,Wilkie Bard,I Want to Sing in Opera,1911,pop
2c91d6e4-6962-4b35-9f00-9d7a659ff347,Benno Moiseiwitsch,Bird Song / The Sea,1917,classical
a7157a56-e899-48a9-ab1d-370938957f42,Marie Lloyd,The Twiddly-Wink / The Piccadilly Trot,1913,music hall; pop
073ad389-a5df-450a-9aec-8fa18fb64a42,G. H. Elliott,In Dixie Land With Dixie Lou / The Ragtime Golliwog Man,1913,pop; ragtime
98f6a95a-0d09-4625-9f94-b70bc8e732ff,Marie Lloyd,A Little Bit of What You Fancy Does You Good / Woman's Opinion of Man,1915,pop
1adcc7e9-d28a-4d39-912c-774fe532b182,Marie Lloyd,The Coster Girl in Paris / Every Little Movement Has a Meaning of Its Own,1912,music hall; pop
e1551485-adbb-4260-8ebd-738d53f1f940,Guido Deiro,Light Cavalry Overture / Poet and Peasant Overture,1912,instrumental; pop; classical
75b28242-cf54-40ba-9677-df07261e814d,Arthur Fields,Along Came Ruth / I'll Do It All Over Again,1914,pop
7ae1019e-9c74-4019-baa4-a090e70e5d56,Royal Dadmun,Onward Christian Soldiers / The Holy City,1919,pop
854dfbe0-3613-4f0e-af1c-a3e0fb07220d,Ada Jones,Medley of Bayes-Norworth Hits / Call Me Up Some Rainy Afternoon,1910,instrumental; pop; classical
b08307ad-923f-4b88-8fdf-03e557535f84,John McCormack,"It's a Long, Long Way to Tipperary",1915,pop
f3bfc087-2e35-4df4-960e-8f61736d726c,Marion Harris,A Good Man Is Hard to Find / For Johnny and Me,1919,jazz
d871133c-cb16-40da-b42e-16d234745f62,Charles Harrison,I Hear You Calling Me / Serenade,1919,pop; classical
754dfa8f-a21f-4d16-9eaa-5ca276e8fbcc,William MacEwan,Some Day / My Ain Countree,1912,gospel
f9e3dc18-be26-48e6-b438-51fbd97fcedd,Giuseppe Verdi,La traviata,1916,opera; classical
d893f3fc-c2e7-4ece-beb8-bd0f3a5251d0,Daisy Tapley,Tarry With Me / I Surrender All,1910,pop; classical
e9bfbf78-6296-4db4-8b88-aeca77d699da,Willy Derby,Moeder / Het bankje bij de haven,1919,pop; levenslied
368fee60-aaf3-4bac-95f7-0f4490c73fcd,Willy Derby,De schooier / Gebroken leven,1919,pop
22faa647-07cf-4b10-99a8-86e79543307e,Willy Derby,Het fiere schooiershart / Herderinnedroom,1919,pop
4e3723f0-d5ba-406e-b842-ed55607b1cc3,John McCormack,Somewhere a Voice Is Calling,1915,pop
ae84495b-9a57-4c62-8f97-fd3672b441ed,Nora Bayes,(Good Bye and Luck Be with You) Laddie Boy / Over There,1917,pop
