lat,lon,release_year,genre_ids
25.0782,-77.3383,1916,|13334|
39.7837,-100.4459,1910,|13334|
39.7837,-100.4459,1911,|13334|
40.3270,-86.1747,1916,|13334|
40.3270,-86.1747,1918,|13334|2097|
29.9561,-90.0734,1919,|13334|
42.3316,-83.0466,1919,|13334|
47.1616,27.5838,1919,|3933|
53.7624,-0.3301,1914,|13334|
-37.8142,144.9632,1910,|13334|
29.9561,-90.0734,1919,|13334|4087|
39.9527,-75.1635,1917,|13334|
43.0481,-76.1474,1918,|13334|
39.9527,-75.1635,1912,|13334|14248|
37.1232,-78.4928,1919,|13334|
40.6526,-73.9497,1912,|13334|
50.7353,7.1025,1918,|3462|3933|
51.9244,4.4778,1917,|3933|
53.4795,-2.2451,1911,|13334|
50.1481,35.1810,1917,|3933|
51.5324,-0.0861,1913,|11738|13334|
53.6154,-2.1558,1913,|13334|14248|
51.5324,-0.0861,1915,|13334|
51.5324,-0.0861,1912,|11738|13334|
45.3897,7.6498,1912,|8991|13334|3933|
39.9527,-75.1635,1914,|13334|
42.7135,-73.2095,1919,|13334|
53.8612,-2.5651,1910,|8991|13334|3933|
53.4228,-7.9426,1915,|13334|
40.3270,-86.1747,1919,|9356|
40.7216,-74.0475,1919,|13334|3933|
55.8612,-4.2502,1912,|7722|
44.4614,9.8159,1916,|12661|3933|
43.6981,-85.4837,1910,|13334|3933|
52.0800,4.3113,1919,|13334|10287|
52.0800,4.3113,1919,|13334|
52.0800,4.3113,1919,|13334|
53.4228,-7.9426,1915,|13334|
41.8756,-87.6244,1917,|13334|
